batsmen,wicket,runs_scored,balls_faced,minutes_played,fours,sixes,strike_rate,country,match_name,scorecard_id
Rohit Sharma,c Head b Maxwell,47,31,44,4,3,151.61,India,1st-Final,1384439
Shubman Gill,c Zampa b Starc,4,7,21,0,0,57.14,India,1st-Final,1384439
Virat Kohli,b Cummins,54,63,99,4,0,85.71,India,1st-Final,1384439
Shreyas Iyer,c Inglis b Cummins,4,3,3,1,0,133.33,India,1st-Final,1384439
KL Rahul,c Inglis b Starc,66,107,133,1,0,61.68,India,1st-Final,1384439
Ravindra Jadeja,c Inglis b Hazlewood,9,22,33,0,0,40.9,India,1st-Final,1384439
Suryakumar Yadav,c Inglis b Hazlewood,18,28,57,1,0,64.28,India,1st-Final,1384439
Mohammed Shami,c Inglis b Starc,6,10,9,1,0,60.0,India,1st-Final,1384439
Jasprit Bumrah,lbw b Zampa,1,3,5,0,0,33.33,India,1st-Final,1384439
Kuldeep Yadav,run out (Labuschagne/Cummins),10,18,28,0,0,55.55,India,1st-Final,1384439
Mohammed Siraj,not out,9,8,13,1,0,112.5,India,1st-Final,1384439
David Warner,c Kohli b Mohammed Shami,7,3,6,1,0,233.33,Australia,1st-Final,1384439
Travis Head,c Shubman Gill b Mohammed Siraj,137,120,166,15,4,114.16,Australia,1st-Final,1384439
Mitchell Marsh,c Rahul b Bumrah,15,15,15,1,1,100.0,Australia,1st-Final,1384439
Steven Smith,lbw b Bumrah,4,9,11,1,0,44.44,Australia,1st-Final,1384439
Marnus Labuschagne,not out,58,110,133,4,0,52.72,Australia,1st-Final,1384439
Glenn Maxwell,not out,2,1,1,0,0,200.0,Australia,1st-Final,1384439
batsmen,wicket,runs_scored,balls_faced,minutes_played,fours,sixes,strike_rate,country,match_name,scorecard_id
Quinton de Kock,c Cummins b Hazlewood,3,14,27,0,0,21.42,South Africa,2nd-Semi-Final,1384438
Temba Bavuma,c Inglis b Starc,0,4,5,0,0,0.0,South Africa,2nd-Semi-Final,1384438
Rassie van der Dussen,c Smith b Hazlewood,6,31,53,0,0,19.35,South Africa,2nd-Semi-Final,1384438
Aiden Markram,c Warner b Starc,10,20,24,2,0,50.0,South Africa,2nd-Semi-Final,1384438
Heinrich Klaasen,b Head,47,48,76,4,2,97.91,South Africa,2nd-Semi-Final,1384438
David Miller,c Head b Cummins,101,116,138,8,5,87.06,South Africa,2nd-Semi-Final,1384438
Marco Jansen,lbw b Head,0,1,1,0,0,0.0,South Africa,2nd-Semi-Final,1384438
Gerald Coetzee,c Inglis b Cummins,19,39,42,2,0,48.71,South Africa,2nd-Semi-Final,1384438
Keshav Maharaj,c Smith b Starc,4,8,13,0,0,50.0,South Africa,2nd-Semi-Final,1384438
Kagiso Rabada,c Maxwell b Cummins,10,12,18,0,1,83.33,South Africa,2nd-Semi-Final,1384438
Tabraiz Shamsi,not out,1,5,11,0,0,20.0,South Africa,2nd-Semi-Final,1384438
Travis Head,b Maharaj,62,48,62,9,2,129.16,Australia,2nd-Semi-Final,1384438
David Warner,b Markram,29,18,29,1,4,161.11,Australia,2nd-Semi-Final,1384438
Mitchell Marsh,c van der Dussen b Rabada,0,6,5,0,0,0.0,Australia,2nd-Semi-Final,1384438
Steven Smith,c de Kock b Coetzee,30,62,102,2,0,48.38,Australia,2nd-Semi-Final,1384438
Marnus Labuschagne,lbw b Shamsi,18,31,28,2,0,58.06,Australia,2nd-Semi-Final,1384438
Glenn Maxwell,b Shamsi,1,5,8,0,0,20.0,Australia,2nd-Semi-Final,1384438
Josh Inglis,b Coetzee,28,49,66,3,0,57.14,Australia,2nd-Semi-Final,1384438
Mitchell Starc,not out,16,38,61,2,0,42.1,Australia,2nd-Semi-Final,1384438
Pat Cummins,not out,14,29,32,2,0,48.27,Australia,2nd-Semi-Final,1384438
batsmen,wicket,runs_scored,balls_faced,minutes_played,fours,sixes,strike_rate,country,match_name,scorecard_id
Rohit Sharma,c Williamson b Southee,47,29,40,4,4,162.06,India,1st-Semi-Final,1384437
Shubman Gill,not out,80,66,116,8,3,121.21,India,1st-Semi-Final,1384437
Virat Kohli,c Conway b Southee,117,113,149,9,2,103.53,India,1st-Semi-Final,1384437
Shreyas Iyer,c Mitchell b Boult,105,70,114,4,8,150.0,India,1st-Semi-Final,1384437
KL Rahul,not out,39,20,29,5,2,195.0,India,1st-Semi-Final,1384437
Suryakumar Yadav,c Phillips b Southee,1,2,2,0,0,50.0,India,1st-Semi-Final,1384437
Devon Conway,c Rahul b Mohammed Shami,13,15,26,3,0,86.66,New Zealand,1st-Semi-Final,1384437
Rachin Ravindra,c Rahul b Mohammed Shami,13,22,39,3,0,59.09,New Zealand,1st-Semi-Final,1384437
Kane Williamson,c Yadav b Mohammed Shami,69,73,116,8,1,94.52,New Zealand,1st-Semi-Final,1384437
Daryl Mitchell,c Jadeja b Mohammed Shami,134,119,180,9,7,112.6,New Zealand,1st-Semi-Final,1384437
Tom Latham,lbw b Mohammed Shami,0,2,1,0,0,0.0,New Zealand,1st-Semi-Final,1384437
Glenn Phillips,c Jadeja b Bumrah,41,33,58,4,2,124.24,New Zealand,1st-Semi-Final,1384437
Mark Chapman,c Jadeja b Kuldeep Yadav,2,5,5,0,0,40.0,New Zealand,1st-Semi-Final,1384437
Mitchell Santner,c Sharma b Mohammed Siraj,9,10,20,0,0,90.0,New Zealand,1st-Semi-Final,1384437
Tim Southee,c Rahul b Mohammed Shami,9,10,14,1,0,90.0,New Zealand,1st-Semi-Final,1384437
Trent Boult,not out,2,2,5,0,0,100.0,New Zealand,1st-Semi-Final,1384437
Lockie Ferguson,c Rahul b Mohammed Shami,6,3,2,0,1,200.0,New Zealand,1st-Semi-Final,1384437
batsmen,wicket,runs_scored,balls_faced,minutes_played,fours,sixes,strike_rate,country,match_name,scorecard_id
Rohit Sharma,c Barresi b de Leede,61,54,74,8,2,112.96,India,45th-Match,1384436
Shubman Gill,c Nidamanuru b van Meekeren,51,32,49,3,4,159.37,India,45th-Match,1384436
Virat Kohli,b van der Merwe,51,56,69,5,1,91.07,India,45th-Match,1384436
Shreyas Iyer,not out,128,94,145,10,5,136.17,India,45th-Match,1384436
KL Rahul,c Engelbrecht b de Leede,102,64,98,11,4,159.37,India,45th-Match,1384436
Suryakumar Yadav,not out,2,1,1,0,0,200.0,India,45th-Match,1384436
Wesley Barresi,c Rahul b Mohammed Siraj,4,5,8,0,0,80.0,Netherlands,45th-Match,1384436
