batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Rohit Sharma,c Williamson b Southee,47,29,40,4,4,162.06,India,1st_semi_final
Shubman Gill,not out,80,66,116,8,3,121.21,India,1st_semi_final
Virat Kohli,c Conway b Southee,117,113,149,9,2,103.53,India,1st_semi_final
Shreyas Iyer,c Mitchell b Boult,105,70,114,4,8,150.0,India,1st_semi_final
KL Rahul,not out,39,20,29,5,2,195.0,India,1st_semi_final
Suryakumar Yadav,c Phillips b Southee,1,2,2,0,0,50.0,India,1st_semi_final
Devon Conway,c Rahul b Mohammed Shami,13,15,26,3,0,86.66,New Zealand,1st_semi_final
Rachin Ravindra,c Rahul b Mohammed Shami,13,22,39,3,0,59.09,New Zealand,1st_semi_final
Kane Williamson,c Yadav b Mohammed Shami,69,73,116,8,1,94.52,New Zealand,1st_semi_final
Daryl Mitchell,c Jadeja b Mohammed Shami,134,119,180,9,7,112.6,New Zealand,1st_semi_final
Tom Latham,lbw b Mohammed Shami,0,2,1,0,0,0.0,New Zealand,1st_semi_final
Glenn Phillips,c Jadeja b Bumrah,41,33,58,4,2,124.24,New Zealand,1st_semi_final
Mark Chapman,c Jadeja b Kuldeep Yadav,2,5,5,0,0,40.0,New Zealand,1st_semi_final
Mitchell Santner,c Sharma b Mohammed Siraj,9,10,20,0,0,90.0,New Zealand,1st_semi_final
Tim Southee,c Rahul b Mohammed Shami,9,10,14,1,0,90.0,New Zealand,1st_semi_final
Trent Boult,not out,2,2,5,0,0,100.0,New Zealand,1st_semi_final
Lockie Ferguson,c Rahul b Mohammed Shami,6,3,2,0,1,200.0,New Zealand,1st_semi_final
