batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Fakhar Zaman,c & b van Beek,12,15,14,3,0,80.0,Pakistan,2nd_match
Imam0ul0Haq,c Dutt b van Meekeren,15,19,40,2,0,78.94,Pakistan,2nd_match
Babar Azam,c Saqib Zulfiqar b Ackermann,5,18,20,0,0,27.77,Pakistan,2nd_match
Mohammad Rizwan,b de Leede,68,75,104,8,0,90.66,Pakistan,2nd_match
Saud Shakeel,c Saqib Zulfiqar b Dutt,68,52,84,9,1,130.76,Pakistan,2nd_match
Iftikhar Ahmed,c Edwards b de Leede,9,11,22,1,0,81.81,Pakistan,2nd_match
Mohammad Nawaz,run out (van Meekeren/Ackermann),39,43,66,4,0,90.69,Pakistan,2nd_match
Shadab Khan,b de Leede,32,34,42,2,1,94.11,Pakistan,2nd_match
Hasan Ali,lbw b de Leede,0,1,2,0,0,0.0,Pakistan,2nd_match
Shaheen Shah Afridi,not out,13,12,23,2,0,108.33,Pakistan,2nd_match
Haris Rauf,st Edwards b Ackermann,16,14,10,2,1,114.28,Pakistan,2nd_match
Vikramjit Singh,c Fakhar Zaman b Shadab Khan,52,67,97,4,1,77.61,Netherlands,2nd_match
Max O'Dowd,c Shaheen Shah Afridi b Hasan Ali,5,12,24,1,0,41.66,Netherlands,2nd_match
Colin Ackermann,b Iftikhar Ahmed,17,21,24,3,0,80.95,Netherlands,2nd_match
Bas de Leede,b Mohammad Nawaz,67,68,92,6,2,98.52,Netherlands,2nd_match
Teja Nidamanuru,c Fakhar Zaman b Haris Rauf,5,9,10,1,0,55.55,Netherlands,2nd_match
Scott Edwards,lbw b Haris Rauf,0,2,2,0,0,0.0,Netherlands,2nd_match
Saqib Zulfiqar,lbw b Shaheen Shah Afridi,10,18,24,1,0,55.55,Netherlands,2nd_match
Roelof van der Merwe,run out (Babar Azam/Mohammad Rizwan),4,7,18,0,0,57.14,Netherlands,2nd_match
Logan van Beek,not out,28,28,36,3,1,100.0,Netherlands,2nd_match
Aryan Dutt,b Hasan Ali,1,2,6,0,0,50.0,Netherlands,2nd_match
Paul van Meekeren,b Haris Rauf,7,12,17,1,0,58.33,Netherlands,2nd_match
