batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Quinton de Kock,c Cummins b Hazlewood,3,14,27,0,0,21.42,South Africa,2nd_semi_final
Temba Bavuma,c Inglis b Starc,0,4,5,0,0,0.0,South Africa,2nd_semi_final
Rassie van der Dussen,c Smith b Hazlewood,6,31,53,0,0,19.35,South Africa,2nd_semi_final
Aiden Markram,c Warner b Starc,10,20,24,2,0,50.0,South Africa,2nd_semi_final
Heinrich Klaasen,b Head,47,48,76,4,2,97.91,South Africa,2nd_semi_final
David Miller,c Head b Cummins,101,116,138,8,5,87.06,South Africa,2nd_semi_final
Marco Jansen,lbw b Head,0,1,1,0,0,0.0,South Africa,2nd_semi_final
Gerald Coetzee,c Inglis b Cummins,19,39,42,2,0,48.71,South Africa,2nd_semi_final
Keshav Maharaj,c Smith b Starc,4,8,13,0,0,50.0,South Africa,2nd_semi_final
Kagiso Rabada,c Maxwell b Cummins,10,12,18,0,1,83.33,South Africa,2nd_semi_final
Tabraiz Shamsi,not out,1,5,11,0,0,20.0,South Africa,2nd_semi_final
Travis Head,b Maharaj,62,48,62,9,2,129.16,Australia,2nd_semi_final
David Warner,b Markram,29,18,29,1,4,161.11,Australia,2nd_semi_final
Mitchell Marsh,c van der Dussen b Rabada,0,6,5,0,0,0.0,Australia,2nd_semi_final
Steven Smith,c de Kock b Coetzee,30,62,102,2,0,48.38,Australia,2nd_semi_final
Marnus Labuschagne,lbw b Shamsi,18,31,28,2,0,58.06,Australia,2nd_semi_final
Glenn Maxwell,b Shamsi,1,5,8,0,0,20.0,Australia,2nd_semi_final
Josh Inglis,b Coetzee,28,49,66,3,0,57.14,Australia,2nd_semi_final
Mitchell Starc,not out,16,38,61,2,0,42.1,Australia,2nd_semi_final
Pat Cummins,not out,14,29,32,2,0,48.27,Australia,2nd_semi_final
