batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Rohit Sharma,b Madushanka,4,2,2,1,0,200.0,India,33rd_match
Shubman Gill,c Mendis b Madushanka,92,92,136,11,2,100.0,India,33rd_match
Virat Kohli,c Nissanka b Madushanka,88,94,139,11,0,93.61,India,33rd_match
Shreyas Iyer,c Theekshana b Madushanka,82,56,84,3,6,146.42,India,33rd_match
KL Rahul,c Hemantha b Chameera,21,19,34,2,0,110.52,India,33rd_match
Suryakumar Yadav,c Mendis b Madushanka,12,9,13,2,0,133.33,India,33rd_match
Ravindra Jadeja,run out (Samarawickrama/Mendis),35,24,41,1,1,145.83,India,33rd_match
Mohammed Shami,run out (Mendis),2,4,11,0,0,50.0,India,33rd_match
Jasprit Bumrah,not out,1,1,1,0,0,100.0,India,33rd_match
Pathum Nissanka,lbw b Bumrah,0,1,2,0,0,0.0,Sri Lanka,33rd_match
Dimuth Karunaratne,lbw b Mohammed Siraj,0,1,10,0,0,0.0,Sri Lanka,33rd_match
Kusal Mendis,b Mohammed Siraj,1,10,21,0,0,10.0,Sri Lanka,33rd_match
Sadeera Samarawickrama,c Iyer b Mohammed Siraj,0,4,4,0,0,0.0,Sri Lanka,33rd_match
Charith Asalanka,c Jadeja b Mohammed Shami,1,24,42,0,0,4.16,Sri Lanka,33rd_match
Angelo Mathews,b Mohammed Shami,12,25,55,1,0,48.0,Sri Lanka,33rd_match
Dushan Hemantha,c Rahul b Mohammed Shami,0,1,1,0,0,0.0,Sri Lanka,33rd_match
Dushmantha Chameera,c Rahul b Mohammed Shami,0,6,10,0,0,0.0,Sri Lanka,33rd_match
Maheesh Theekshana,not out,12,23,37,2,0,52.17,Sri Lanka,33rd_match
Kasun Rajitha,c Shubman Gill b Mohammed Shami,14,17,20,2,0,82.35,Sri Lanka,33rd_match
Dilshan Madushanka,c Iyer b Jadeja,5,6,4,1,0,83.33,Sri Lanka,33rd_match
