batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Pathum Nissanka,c Latham b Southee,2,8,9,0,0,25.0,Sri Lanka,41st_match
Kusal Perera,c Santner b Ferguson,51,28,46,9,2,182.14,Sri Lanka,41st_match
Kusal Mendis,c Ravindra b Boult,6,7,11,1,0,85.71,Sri Lanka,41st_match
Sadeera Samarawickrama,c Mitchell b Boult,1,2,2,0,0,50.0,Sri Lanka,41st_match
Charith Asalanka,lbw b Boult,8,8,16,1,0,100.0,Sri Lanka,41st_match
Angelo Mathews,c Mitchell b Santner,16,27,33,2,0,59.25,Sri Lanka,41st_match
Dhananjaya de Silva,c Mitchell b Santner,19,24,36,2,1,79.16,Sri Lanka,41st_match
Chamika Karunaratne,c Latham b Ferguson,6,17,28,1,0,35.29,Sri Lanka,41st_match
Maheesh Theekshana,not out,38,91,109,3,0,41.75,Sri Lanka,41st_match
Dushmantha Chameera,c Boult b Ravindra,1,20,32,0,0,5.0,Sri Lanka,41st_match
Dilshan Madushanka,c Latham b Ravindra,19,48,56,2,0,39.58,Sri Lanka,41st_match
Devon Conway,c de Silva b Chameera,45,42,54,9,0,107.14,New Zealand,41st_match
Rachin Ravindra,c de Silva b Theekshana,42,34,61,3,3,123.52,New Zealand,41st_match
Kane Williamson,b Mathews,14,15,26,2,0,93.33,New Zealand,41st_match
Daryl Mitchell,c Asalanka b Mathews,43,31,45,5,2,138.7,New Zealand,41st_match
Mark Chapman,run out (Samarawickrama/Mathews),7,6,13,1,0,116.66,New Zealand,41st_match
Glenn Phillips,not out,17,10,15,3,0,170.0,New Zealand,41st_match
Tom Latham,not out,2,2,3,0,0,100.0,New Zealand,41st_match
