batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Devon Conway,c de Leede b van der Merwe,32,40,51,5,1,80.0,New Zealand,6th_match
Will Young,c de Leede b van Meekeren,70,80,106,7,2,87.5,New Zealand,6th_match
Rachin Ravindra,c Edwards b van der Merwe,51,51,87,3,1,100.0,New Zealand,6th_match
Daryl Mitchell,b van Meekeren,48,47,67,5,2,102.12,New Zealand,6th_match
Tom Latham,st Edwards b Dutt,53,46,72,6,1,115.21,New Zealand,6th_match
Glenn Phillips,c Edwards b de Leede,4,4,6,1,0,100.0,New Zealand,6th_match
Mark Chapman,c van der Merwe b Dutt,5,13,11,0,0,38.46,New Zealand,6th_match
Mitchell Santner,not out,36,17,25,3,2,211.76,New Zealand,6th_match
Matt Henry,not out,10,4,6,0,1,250.0,New Zealand,6th_match
Vikramjit Singh,b Henry,12,20,22,1,0,60.0,Netherlands,6th_match
Max O'Dowd,lbw b Santner,16,31,40,2,0,51.61,Netherlands,6th_match
Colin Ackermann,c Henry b Santner,69,73,98,5,0,94.52,Netherlands,6th_match
Bas de Leede,c Boult b Ravindra,18,25,21,3,0,72.0,Netherlands,6th_match
Teja Nidamanuru,run out (Ferguson/Latham),21,26,28,2,1,80.76,Netherlands,6th_match
Scott Edwards,c & b Santner,30,27,37,2,1,111.11,Netherlands,6th_match
Sybrand Engelbrecht,c Conway b Henry,29,34,55,3,0,85.29,Netherlands,6th_match
Roelof van der Merwe,c Henry b Santner,1,6,9,0,0,16.66,Netherlands,6th_match
Ryan Klein,lbw b Santner,8,15,23,0,0,53.33,Netherlands,6th_match
Aryan Dutt,b Henry,11,20,19,0,1,55.0,Netherlands,6th_match
Paul van Meekeren,not out,4,3,5,1,0,133.33,Netherlands,6th_match
