batsmen,wicket,runs_scored,balls_faced,matches_played,fours,sixes,strike_rate,country,match_name
Rohit Sharma,c Head b Maxwell,47,31,44,4,3,151.61,India,final
Shubman Gill,c Zampa b Starc,4,7,21,0,0,57.14,India,final
Virat Kohli,b Cummins,54,63,99,4,0,85.71,India,final
Shreyas Iyer,c Inglis b Cummins,4,3,3,1,0,133.33,India,final
KL Rahul,c Inglis b Starc,66,107,133,1,0,61.68,India,final
Ravindra Jadeja,c Inglis b Hazlewood,9,22,33,0,0,40.9,India,final
Suryakumar Yadav,c Inglis b Hazlewood,18,28,57,1,0,64.28,India,final
Mohammed Shami,c Inglis b Starc,6,10,9,1,0,60.0,India,final
Jasprit Bumrah,lbw b Zampa,1,3,5,0,0,33.33,India,final
Kuldeep Yadav,run out (Labuschagne/Cummins),10,18,28,0,0,55.55,India,final
Mohammed Siraj,not out,9,8,13,1,0,112.5,India,final
David Warner,c Kohli b Mohammed Shami,7,3,6,1,0,233.33,Australia,final
Travis Head,c Shubman Gill b Mohammed Siraj,137,120,166,15,4,114.16,Australia,final
Mitchell Marsh,c Rahul b Bumrah,15,15,15,1,1,100.0,Australia,final
Steven Smith,lbw b Bumrah,4,9,11,1,0,44.44,Australia,final
Marnus Labuschagne,not out,58,110,133,4,0,52.72,Australia,final
Glenn Maxwell,not out,2,1,1,0,0,200.0,Australia,final
