batsmen,dismissed,runs_scored,balls_faced,minutes_played,fours,sixes,strike_rate,team,match_name,innings,scorecard_id
Suprit Pradhan,c Yadav b Robert Raina,10,10,0,0,1,100.0,Bhutan,1st-Match,1st,1420801
Jigme Dorji,c Nuntarach b Thakur,9,10,0,1,0,90.0,Bhutan,1st-Match,1st,1420801
Tenjin Rabgey,run out (Namchaikul),4,5,0,1,0,80.0,Bhutan,1st-Match,1st,1420801
Ranjung Mikyo Dorji,b Senamontree,2,9,0,0,0,22.22,Bhutan,1st-Match,1st,1420801
Sherab Loday,c Lazarus b Sarawut Maliwan,10,20,0,1,0,50.0,Bhutan,1st-Match,1st,1420801
Thinley Jamtsho,c Nuntarach b Namchaikul,4,12,0,0,0,33.33,Bhutan,1st-Match,1st,1420801
Namgang Chejay,run out (Chatphaisan),1,1,0,0,0,100.0,Bhutan,1st-Match,1st,1420801
Namgay Thinley,c Lazarus b Sarawut Maliwan,0,3,0,0,0,0.0,Bhutan,1st-Match,1st,1420801
Tenzin Wangchuk,not out,18,21,0,2,0,85.71,Bhutan,1st-Match,1st,1420801
Karma Dorji,st Yadav b Sarawut Maliwan,0,2,0,0,0,0.0,Bhutan,1st-Match,1st,1420801
Sonam Yeshey,b Pengkumta,8,15,0,1,0,53.33,Bhutan,1st-Match,1st,1420801
Akshaykumar Yadav,not out,33,22,0,6,0,150.0,Thailand,1st-Match,1st,1420801
Chaloemwong	Chatphaisan,not out,35,20,0,6,0,175.0,Thailand,1st-Match,1st,1420801
Nicole Faltum,c Manix-Geeves b Carey,19,24,0,4,0,79.16,Victoria Women,37th-match,1st,1391861
Sophie Reid,b Gibson,38,48,0,6,0,79.16,Victoria Women,37th-match,1st,1391861
Meg Lanning,b Graham,4,3,0,1,0,133.33,Victoria Women,37th-match,1st,1391861
Tess Flintoff,c Stalenberg b Smith,60,92,0,4,0,65.21,Victoria Women,37th-match,1st,1391861
Ella Hayward,b Smith,40,66,0,3,0,60.6,Victoria Women,37th-match,1st,1391861
Georgia Prestwidge,not out,56,46,0,5,1,121.73,Victoria Women,37th-match,1st,1391861
Jasmine Nevins,not out,14,22,0,0,0,63.63,Victoria Women,37th-match,1st,1391861
Elyse Villani,c Faltum b Prestwidge,14,16,0,2,0,87.5,Tasmania Women,37th-match,1st,1391861
Lizelle Lee,c Vlaeminck b Hayward,27,26,0,4,0,103.84,Tasmania Women,37th-match,1st,1391861
Nicola Carey,not out,75,102,0,5,0,73.52,Tasmania Women,37th-match,1st,1391861
Heather Graham,c Faltum b Illingworth,105,93,0,15,2,112.9,Tasmania Women,37th-match,1st,1391861
Naomi Stalenberg,not out,27,27,0,3,1,100.0,Tasmania Women,37th-match,1st,1391861
Yash Dubey,c Jyotsnil Singh b Akash Singh,25,40,0,5,0,62.5,Madhya Pradesh,1st-Elite,1st,1383796
Himanshu Mantri,c Jyotsnil Singh b Pithiya,111,183,0,12,2,60.65,Madhya Pradesh,1st-Elite,1st,1383796
Sumit Kushwah,c Patel b Akash Singh,6,13,0,1,0,46.15,Madhya Pradesh,1st-Elite,1st,1383796
Shubham Sharma,c sub (KPB Patel) b Bhatt,61,93,0,7,0,65.59,Madhya Pradesh,1st-Elite,1st,1383796
Venkatesh Iyer,c Akash Singh b Pithiya,35,52,0,4,1,67.3,Madhya Pradesh,1st-Elite,1st,1383796
Rishabh Chouhan,c Sharma b Akash Singh,3,16,0,0,0,18.75,Madhya Pradesh,1st-Elite,1st,1383796
Saransh Jain,b Pithiya,70,121,0,8,1,57.85,Madhya Pradesh,1st-Elite,1st,1383796
Aryan Pandey,run out (Sharma),38,115,0,4,0,33.04,Madhya Pradesh,1st-Elite,1st,1383796
Anubhav Agarwal,st Patel b Bhatt,38,80,0,3,0,47.5,Madhya Pradesh,1st-Elite,1st,1383796
Kumar Kartikeya,c Pratyush Kumar b Akash Singh,45,63,0,7,0,71.42,Madhya Pradesh,1st-Elite,1st,1383796
Kulwant Khejroliya,not out,0,1,0,0,0,0.0,Madhya Pradesh,1st-Elite,1st,1383796
Jyotsnil Singh,c Mantri b Agarwal,5,17,0,1,0,29.41,Baroda,1st-Elite,1st,1383796
Pratyush Kumar,c & b Kartikeya,2,17,0,0,0,11.76,Baroda,1st-Elite,1st,1383796
Shashwat Rawat,c Chouhan b Agarwal,2,12,0,0,0,16.66,Baroda,1st-Elite,1st,1383796
Mitesh Patel,c Sharma b Jain,80,115,0,11,0,69.56,Baroda,1st-Elite,1st,1383796
Shivalik Sharma,b Agarwal,15,26,0,1,0,57.69,Baroda,1st-Elite,1st,1383796
Vishnu Solanki,run out (Pandey),2,11,0,0,0,18.18,Baroda,1st-Elite,1st,1383796
Atit Sheth,c Mantri b Khejroliya,2,10,0,0,0,20.0,Baroda,1st-Elite,1st,1383796
Mahesh Pithiya,lbw b Jain,10,56,0,2,0,17.85,Baroda,1st-Elite,1st,1383796
Bhargav Bhatt,lbw b Jain,10,10,0,1,1,100.0,Baroda,1st-Elite,1st,1383796
Akash Singh,b Khejroliya,4,4,0,1,0,100.0,Baroda,1st-Elite,1st,1383796
Soyeb Sopariya,not out,0,5,0,0,0,0.0,Baroda,1st-Elite,1st,1383796
Jyotsnil Singh,c Mantri b Kartikeya,83,169,0,9,1,49.11,Madhya Pradesh,1st-Elite,2nd,1383796
Pratyush Kumar,c Mantri b Kartikeya,4,18,0,0,0,22.22,Madhya Pradesh,1st-Elite,2nd,1383796
Shashwat Rawat,b Khejroliya,105,273,0,12,0,38.46,Madhya Pradesh,1st-Elite,2nd,1383796
Mitesh Patel,lbw b Kartikeya,9,13,0,2,0,69.23,Madhya Pradesh,1st-Elite,2nd,1383796
Shivalik Sharma,c Dubey b Agarwal,19,54,0,2,0,35.18,Madhya Pradesh,1st-Elite,2nd,1383796
Vishnu Solanki,lbw b Agarwal,13,17,0,3,0,76.47,Madhya Pradesh,1st-Elite,2nd,1383796
Atit Sheth,b Khejroliya,20,35,0,2,1,57.14,Madhya Pradesh,1st-Elite,2nd,1383796
Mahesh Pithiya,c Chouhan b Khejroliya,0,1,0,0,0,0.0,Madhya Pradesh,1st-Elite,2nd,1383796
Bhargav Bhatt,lbw b Khejroliya,0,1,0,0,0,0.0,Madhya Pradesh,1st-Elite,2nd,1383796
Akash Singh,b Khejroliya,0,1,0,0,0,0.0,Madhya Pradesh,1st-Elite,2nd,1383796
Soyeb Sopariya,not out,2,9,0,0,0,22.22,Madhya Pradesh,1st-Elite,2nd,1383796
Suraj Ahuja,c Kauthankar b Gaonkar,81,167,0,12,0,48.5,Railways,1st-Elite,1st,1383794
Vivek Singh,lbw b Alemao,15,32,0,3,0,46.87,Railways,1st-Elite,1st,1383794
Pratham Singh,c Misal b Redkar,5,40,0,0,0,12.5,Railways,1st-Elite,1st,1383794
Mohammad Saif,c Khutkar b Misal,16,31,0,2,0,51.61,Railways,1st-Elite,1st,1383794
Upendra Yadav,c Khutkar b Gaonkar,91,117,0,11,1,77.77,Railways,1st-Elite,1st,1383794
Sahab Yuvraj Singh,c Prabhudessai b Gaonkar,0,1,0,0,0,0.0,Railways,1st-Elite,1st,1383794
Ashutosh Sharma,c Parab b Misal,17,18,0,3,0,94.44,Railways,1st-Elite,1st,1383794
Yuvraj Singh,run out (Garg),22,47,0,4,0,46.8,Railways,1st-Elite,1st,1383794
Akash Pandey,c Garg b Parab,26,79,0,3,0,32.91,Railways,1st-Elite,1st,1383794
Adarsh Singh,not out,0,8,0,0,0,0.0,Railways,1st-Elite,1st,1383794
Himanshu Sangwan,lbw b Parab,4,8,0,1,0,50.0,Railways,1st-Elite,1st,1383794
Suyash Prabhudessai,c Mohammad Saif b Yuvraj Singh,0,4,0,0,0,0.0,Goa,1st-Elite,1st,1383794
Amogh Sunil Desai,c Vivek Singh b Pandey,61,134,0,10,0,45.52,Goa,1st-Elite,1st,1383794
Manthan Khutkar,lbw b Pandey,10,62,0,0,0,16.12,Goa,1st-Elite,1st,1383794
Snehal Kauthankar,c Mohammad Saif b Pandey,16,35,0,2,0,45.71,Goa,1st-Elite,1st,1383794
Krishnamurthy Siddharth,c Vivek Singh b Pandey,32,85,0,3,0,37.64,Goa,1st-Elite,1st,1383794
Darshan Misal,c Yadav b Yuvraj Singh,5,9,0,1,0,55.55,Goa,1st-Elite,1st,1383794
Deepraj Gaonkar,c Vivek Singh b Singh,26,28,0,5,0,92.85,Goa,1st-Elite,1st,1383794
Mohit Redkar,c Sharma b Singh,35,26,0,3,2,134.61,Goa,1st-Elite,1st,1383794
Lakshay Garg,c Yadav b Singh,4,10,0,1,0,40.0,Goa,1st-Elite,1st,1383794
Heramb Parab,c Yuvraj Singh b Singh,5,14,0,1,0,35.71,Goa,1st-Elite,1st,1383794
Felix Alemao,not out,0,4,0,0,0,0.0,Goa,1st-Elite,1st,1383794
Vivek Singh,c sub (SS Dubhashi) b Parab,21,66,0,3,0,31.81,Railways,1st-Elite,2nd,1383794
Suraj Ahuja,c Gaonkar b Garg,21,39,0,2,0,53.84,Railways,1st-Elite,2nd,1383794
Pratham Singh,c & b Redkar,28,33,0,5,0,84.84,Railways,1st-Elite,2nd,1383794
Mohammad Saif,c sub (SS Dubhashi) b Parab,5,8,0,1,0,62.5,Railways,1st-Elite,2nd,1383794
Upendra Yadav,b Garg,0,3,0,0,0,0.0,Railways,1st-Elite,2nd,1383794
Sahab Yuvraj Singh,c Prabhudessai b Misal,34,87,0,4,1,39.08,Railways,1st-Elite,2nd,1383794
Ashutosh Sharma,c sub (SS Dubhashi) b Misal,81,93,0,8,3,87.09,Railways,1st-Elite,2nd,1383794
Yuvraj Singh,c Gaonkar b Misal,10,30,0,1,0,33.33,Railways,1st-Elite,2nd,1383794
Akash Pandey,run out (Prabhudessai),5,16,0,1,0,31.25,Railways,1st-Elite,2nd,1383794
Himanshu Sangwan,not out,1,4,0,0,0,25.0,Railways,1st-Elite,2nd,1383794
Adarsh Singh,lbw b Misal,0,2,0,0,0,0.0,Railways,1st-Elite,2nd,1383794
Suyash Prabhudessai,c Vivek Singh b Pandey,67,115,0,4,0,58.26,Goa,1st-Elite,2nd,1383794
Amogh Sunil Desai,c Yadav b Pandey,13,46,0,2,0,28.26,Goa,1st-Elite,2nd,1383794
Snehal Kauthankar,b Pandey,37,92,0,5,0,40.21,Goa,1st-Elite,2nd,1383794
Deepraj Gaonkar,st Yadav b Pandey,5,13,0,1,0,38.46,Goa,1st-Elite,2nd,1383794
Manthan Khutkar,c & b Pratham Singh,17,26,0,3,0,65.38,Goa,1st-Elite,2nd,1383794
Krishnamurthy Siddharth,c Vivek Singh b Pandey,2,14,0,0,0,14.28,Goa,1st-Elite,2nd,1383794
Darshan Misal,c Sahab Yuvraj Singh b Pandey,33,42,0,4,1,78.57,Goa,1st-Elite,2nd,1383794
Mohit Redkar,c Yuvraj Singh b Pandey,20,11,0,4,0,181.81,Goa,1st-Elite,2nd,1383794
Lakshay Garg,c Mohammad Saif b Pandey,0,1,0,0,0,0.0,Goa,1st-Elite,2nd,1383794
Heramb Parab,st Yadav b Pandey,34,24,0,3,3,141.66,Goa,1st-Elite,2nd,1383794
Felix Alemao,not out,6,10,0,0,0,60.0,Goa,1st-Elite,2nd,1383794
Kevin Jivrajani,b Choudhary,0,6,0,0,0,0.0,Saurashtra,1st-Elite,1st,1383784
Harvik Desai,b Ajay Singh,21,80,0,2,0,26.25,Saurashtra,1st-Elite,1st,1383784
Vishvaraj Jadeja,b Suthar,22,46,0,3,0,47.82,Saurashtra,1st-Elite,1st,1383784
Cheteshwar Pujara,lbw b Ajay Singh,110,230,0,9,0,47.82,Saurashtra,1st-Elite,1st,1383784
Sheldon Jackson,b Ajay Singh,116,249,0,8,4,46.58,Saurashtra,1st-Elite,1st,1383784
Arpit  Vasavada,b Choudhary,1,8,0,0,0,12.5,Saurashtra,1st-Elite,1st,1383784
Prerak Mankad,lbw b Choudhary,2,10,0,0,0,20.0,Saurashtra,1st-Elite,1st,1383784
Chirag Jani,b Choudhary,2,2,0,0,0,100.0,Saurashtra,1st-Elite,1st,1383784
Dharmendrasinh Jadeja,c Kothari b Ajay Singh,34,49,0,2,2,69.38,Saurashtra,1st-Elite,1st,1383784
Jaydev Unadkat,not out,9,18,0,1,0,50.0,Saurashtra,1st-Elite,1st,1383784
Yuvrajsinh Dodiya,b Ajay Singh,0,4,0,0,0,0.0,Saurashtra,1st-Elite,1st,1383784
Yash Kothari,c Pujara b DA Jadeja,9,33,0,1,0,27.27,Rajasthan,1st-Elite,1st,1383784
Sumit Godara,c VM Jadeja b Dodiya,12,61,0,0,0,19.67,Rajasthan,1st-Elite,1st,1383784
Mahipal Lomror,c Kevin Jivrajani b Dodiya,30,58,0,2,2,51.72,Rajasthan,1st-Elite,1st,1383784
Deepak Hooda,b DA Jadeja,36,66,0,1,1,54.54,Rajasthan,1st-Elite,1st,1383784
Kunal Singh Rathore,st Desai b Dodiya,33,50,0,4,0,66.0,Rajasthan,1st-Elite,1st,1383784
Karan Lamba,b DA Jadeja,0,6,0,0,0,0.0,Rajasthan,1st-Elite,1st,1383784
Samarpit Joshi,c Kevin Jivrajani b DA Jadeja,20,65,0,2,0,30.76,Rajasthan,1st-Elite,1st,1383784
Manav Suthar,c Mankad b Dodiya,29,116,0,3,0,25.0,Rajasthan,1st-Elite,1st,1383784
Kukna Ajay Singh,b Unadkat,44,69,0,3,2,63.76,Rajasthan,1st-Elite,1st,1383784
Arafat Khan,c Unadkat b DA Jadeja,22,20,0,3,1,110.0,Rajasthan,1st-Elite,1st,1383784
Aniket Choudhary,not out,0,5,0,0,0,0.0,Rajasthan,1st-Elite,1st,1383784
Kevin Jivrajani,c Samarpit Joshi b Suthar,32,78,0,3,0,41.02,Saurashtra,1st-Elite,2nd,1383784
Harvik Desai,b Ajay Singh,9,24,0,1,0,37.5,Saurashtra,1st-Elite,2nd,1383784
Vishvaraj Jadeja,lbw b Hooda,3,5,0,0,0,60.0,Saurashtra,1st-Elite,2nd,1383784
Cheteshwar Pujara,lbw b Ajay Singh,25,60,0,2,0,41.66,Saurashtra,1st-Elite,2nd,1383784
Sheldon Jackson,c Kothari b Choudhary,49,83,0,3,1,59.03,Saurashtra,1st-Elite,2nd,1383784
Arpit  Vasavada,not out,74,111,0,8,0,66.66,Saurashtra,1st-Elite,2nd,1383784
Prerak Mankad,b Suthar,14,15,0,1,0,93.33,Saurashtra,1st-Elite,2nd,1383784
Chirag Jani,not out,19,8,0,4,0,237.5,Saurashtra,1st-Elite,2nd,1383784
Yash Kothari,st Desai b DA Jadeja,12,13,0,2,0,92.3,Rajasthan,1st-Elite,2nd,1383784
Sumit Godara,c DA Jadeja b Dodiya,30,65,0,3,0,46.15,Rajasthan,1st-Elite,2nd,1383784
Mahipal Lomror,b Dodiya,13,17,0,2,0,76.47,Rajasthan,1st-Elite,2nd,1383784
Karan Lamba,b DA Jadeja,9,11,0,0,1,81.81,Rajasthan,1st-Elite,2nd,1383784
