bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Mitchell Starc,10.0,0,55,3,5.5,30,4,1,3,0,Australia,1st-Final,1384439
Josh Hazlewood,10.0,0,60,2,6.0,22,4,1,1,0,Australia,1st-Final,1384439
Glenn Maxwell,6.0,0,35,1,5.83,19,4,1,0,0,Australia,1st-Final,1384439
Pat Cummins,10.0,0,34,2,3.4,30,0,0,2,0,Australia,1st-Final,1384439
Adam Zampa,10.0,0,44,1,4.4,22,1,0,1,0,Australia,1st-Final,1384439
Mitchell Marsh,2.0,0,5,0,2.5,7,0,0,0,0,Australia,1st-Final,1384439
Travis Head,2.0,0,4,0,2.0,8,0,0,0,0,Australia,1st-Final,1384439
Jasprit Bumrah,9.0,2,43,2,4.77,37,8,0,0,0,India,1st-Final,1384439
Mohammed Shami,7.0,1,47,1,6.71,28,6,1,3,0,India,1st-Final,1384439
Ravindra Jadeja,10.0,0,43,0,4.3,29,1,1,1,0,India,1st-Final,1384439
Kuldeep Yadav,10.0,0,56,0,5.6,25,3,2,0,0,India,1st-Final,1384439
Mohammed Siraj,7.0,0,45,1,6.42,16,4,1,0,0,India,1st-Final,1384439
bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Mitchell Starc,10.0,1,34,3,3.4,46,3,1,4,0,Australia,2nd-Semi-Final,1384438
Josh Hazlewood,8.0,3,12,2,1.5,39,1,0,0,0,Australia,2nd-Semi-Final,1384438
Pat Cummins,9.4,0,51,3,5.27,32,5,1,2,0,Australia,2nd-Semi-Final,1384438
Adam Zampa,7.0,0,55,0,7.85,21,1,6,0,0,Australia,2nd-Semi-Final,1384438
Glenn Maxwell,10.0,0,35,0,3.5,35,3,0,0,0,Australia,2nd-Semi-Final,1384438
Travis Head,5.0,0,21,2,4.2,19,3,0,1,0,Australia,2nd-Semi-Final,1384438
Marco Jansen,4.2,0,35,0,8.07,18,6,1,4,0,South Africa,2nd-Semi-Final,1384438
Kagiso Rabada,6.0,0,41,1,6.83,24,2,4,1,1,South Africa,2nd-Semi-Final,1384438
Aiden Markram,8.0,1,23,1,2.87,34,1,1,1,0,South Africa,2nd-Semi-Final,1384438
Gerald Coetzee,9.0,0,47,2,5.22,35,8,0,1,1,South Africa,2nd-Semi-Final,1384438
Tabraiz Shamsi,10.0,0,42,2,4.2,36,3,0,5,0,South Africa,2nd-Semi-Final,1384438
Keshav Maharaj,10.0,0,24,1,2.4,39,1,0,0,0,South Africa,2nd-Semi-Final,1384438
bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Trent Boult,10.0,0,86,1,8.6,26,9,4,2,0,New Zealand,1st-Semi-Final,1384437
Tim Southee,10.0,0,100,3,10.0,20,8,6,1,0,New Zealand,1st-Semi-Final,1384437
Mitchell Santner,10.0,1,51,0,5.1,29,3,2,0,0,New Zealand,1st-Semi-Final,1384437
Lockie Ferguson,8.0,0,65,0,8.12,15,7,1,1,0,New Zealand,1st-Semi-Final,1384437
Rachin Ravindra,7.0,0,60,0,8.57,13,2,4,2,0,New Zealand,1st-Semi-Final,1384437
Glenn Phillips,5.0,0,33,0,6.6,11,1,2,0,0,New Zealand,1st-Semi-Final,1384437
Jasprit Bumrah,10.0,1,64,1,6.4,32,6,1,6,0,India,1st-Semi-Final,1384437
Mohammed Siraj,9.0,0,78,1,8.66,26,10,3,3,0,India,1st-Semi-Final,1384437
Mohammed Shami,9.5,0,57,7,5.79,37,3,4,2,0,India,1st-Semi-Final,1384437
Ravindra Jadeja,10.0,0,63,0,6.3,29,3,3,0,1,India,1st-Semi-Final,1384437
Kuldeep Yadav,10.0,0,56,1,5.6,26,6,0,0,0,India,1st-Semi-Final,1384437
bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Aryan Dutt,7.0,0,52,0,7.42,19,7,1,1,0,Netherlands,45th-Match,1384436
Logan van Beek,10.0,0,107,0,10.7,17,10,6,1,0,Netherlands,45th-Match,1384436
Colin Ackermann,3.0,0,25,0,8.33,5,2,1,1,0,Netherlands,45th-Match,1384436
Paul van Meekeren,10.0,0,90,1,9.0,19,6,5,2,1,Netherlands,45th-Match,1384436
Roelof van der Merwe,10.0,0,53,1,5.3,27,4,1,0,0,Netherlands,45th-Match,1384436
Bas de Leede,10.0,0,82,2,8.2,22,8,2,8,0,Netherlands,45th-Match,1384436
Jasprit Bumrah,9.0,1,33,2,3.66,35,3,0,1,0,India,45th-Match,1384436
Mohammed Siraj,6.0,1,29,2,4.83,23,5,0,1,0,India,45th-Match,1384436
Mohammed Shami,6.0,0,41,0,6.83,15,4,1,1,0,India,45th-Match,1384436
Kuldeep Yadav,10.0,1,41,2,4.1,39,1,3,0,0,India,45th-Match,1384436
Ravindra Jadeja,9.0,0,49,2,5.44,31,4,2,1,0,India,45th-Match,1384436
Virat Kohli,3.0,0,13,1,4.33,10,1,0,0,0,India,45th-Match,1384436
Shubman Gill,2.0,0,11,0,5.5,4,1,0,0,0,India,45th-Match,1384436
Suryakumar Yadav,2.0,0,17,0,8.5,5,0,2,0,0,India,45th-Match,1384436
Rohit Sharma,0.5,0,7,1,8.4,3,0,1,0,0,India,45th-Match,1384436
bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Shaheen Shah Afridi,10.0,1,72,2,7.2,32,9,3,0,0,Pakistan,44th-Match,1384435
Haris Rauf,10.0,0,64,3,6.4,32,7,0,3,0,Pakistan,44th-Match,1384435
Iftikhar Ahmed,7.0,0,38,1,5.42,17,4,0,0,0,Pakistan,44th-Match,1384435
Mohammad Wasim,10.0,0,74,2,7.4,26,7,3,1,0,Pakistan,44th-Match,1384435
Shadab Khan,10.0,0,57,0,5.7,25,5,1,0,0,Pakistan,44th-Match,1384435
Agha Salman,3.0,0,25,0,8.33,7,3,1,0,0,Pakistan,44th-Match,1384435
David Willey,10.0,0,56,3,5.6,37,8,1,2,0,England,44th-Match,1384435
Chris Woakes,5.3,0,27,1,4.9,22,5,0,0,0,England,44th-Match,1384435
Adil Rashid,10.0,0,55,2,5.5,26,4,1,1,0,England,44th-Match,1384435
Gus Atkinson,8.0,0,45,2,5.62,29,3,3,2,0,England,44th-Match,1384435
Moeen Ali,10.0,0,60,2,6.0,27,7,1,0,0,England,44th-Match,1384435
bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name,scorecard_id
Josh Hazlewood,7.0,1,21,0,3.0,29,2,0,0,0,Australia,43rd-Match,1384434
Pat Cummins,8.0,0,56,0,7.0,22,7,0,4,0,Australia,43rd-Match,1384434
Sean Abbott,10.0,0,61,2,6.1,29,4,2,0,1,Australia,43rd-Match,1384434
Mitchell Marsh,4.0,0,48,0,12.0,8,6,2,2,1,Australia,43rd-Match,1384434
Adam Zampa,10.0,0,32,2,3.2,39,2,1,0,0,Australia,43rd-Match,1384434
Travis Head,6.0,0,33,0,5.5,14,2,1,0,0,Australia,43rd-Match,1384434
Marcus Stoinis,5.0,0,45,1,9.0,4,4,0,2,0,Australia,43rd-Match,1384434
Taskin Ahmed,10.0,0,61,1,6.1,30,6,2,1,0,Bangladesh,43rd-Match,1384434
