bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Lungi Ngidi,9.0,1,57,2,6.33,31,5,1,6,1,South Africa,15th_match
Marco Jansen,8.0,1,27,2,3.37,36,3,0,6,0,South Africa,15th_match
Kagiso Rabada,9.0,1,56,2,6.22,30,5,2,3,0,South Africa,15th_match
Gerald Coetzee,8.0,0,57,1,7.12,25,5,3,2,0,South Africa,15th_match
Keshav Maharaj,9.0,0,38,1,4.22,34,5,0,0,0,South Africa,15th_match
Aryan Dutt,5.0,1,19,0,3.8,21,3,0,0,0,Netherlands,15th_match
Logan van Beek,8.5,0,60,3,6.79,30,7,2,1,1,Netherlands,15th_match
Colin Ackermann,3.0,0,16,1,5.33,13,2,1,0,0,Netherlands,15th_match
Paul van Meekeren,9.0,0,40,2,4.44,33,4,1,0,0,Netherlands,15th_match
Roelof van der Merwe,9.0,0,34,2,3.77,29,1,1,0,0,Netherlands,15th_match
Bas de Leede,8.0,0,36,2,4.5,28,3,0,4,0,Netherlands,15th_match
