bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Trent Boult,10.0,1,48,1,4.8,34,3,2,1,0,New Zealand,1st_match
Matt Henry,10.0,1,48,3,4.8,31,6,0,0,0,New Zealand,1st_match
Mitchell Santner,10.0,0,37,2,3.7,26,0,0,1,0,New Zealand,1st_match
James Neesham,7.0,0,56,0,8.0,15,5,2,2,0,New Zealand,1st_match
Rachin Ravindra,10.0,0,76,1,7.6,14,6,2,0,0,New Zealand,1st_match
Glenn Phillips,3.0,0,17,2,5.66,5,1,0,0,0,New Zealand,1st_match
Chris Woakes,6.0,0,45,0,7.5,18,7,1,0,0,England,1st_match
Sam Curran,6.0,2,47,1,7.83,17,6,1,2,0,England,1st_match
Mark Wood,5.0,0,55,0,11.0,9,7,2,1,0,England,1st_match
Moeen Ali,9.2,0,60,0,6.42,20,2,3,0,0,England,1st_match
Adil Rashid,7.0,0,47,0,6.71,15,4,1,0,0,England,1st_match
Liam Livingstone,3.0,0,24,0,8.0,7,4,0,0,0,England,1st_match
