bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Trent Boult,10.0,0,86,1,8.6,26,9,4,2,0,New Zealand,1st_semi_final
Tim Southee,10.0,0,100,3,10.0,20,8,6,1,0,New Zealand,1st_semi_final
Mitchell Santner,10.0,1,51,0,5.1,29,3,2,0,0,New Zealand,1st_semi_final
Lockie Ferguson,8.0,0,65,0,8.12,15,7,1,1,0,New Zealand,1st_semi_final
Rachin Ravindra,7.0,0,60,0,8.57,13,2,4,2,0,New Zealand,1st_semi_final
Glenn Phillips,5.0,0,33,0,6.6,11,1,2,0,0,New Zealand,1st_semi_final
Jasprit Bumrah,10.0,1,64,1,6.4,32,6,1,6,0,India,1st_semi_final
Mohammed Siraj,9.0,0,78,1,8.66,26,10,3,3,0,India,1st_semi_final
Mohammed Shami,9.5,0,57,7,5.79,37,3,4,2,0,India,1st_semi_final
Ravindra Jadeja,10.0,0,63,0,6.3,29,3,3,0,1,India,1st_semi_final
Kuldeep Yadav,10.0,0,56,1,5.6,26,6,0,0,0,India,1st_semi_final
