bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Naveen0ul0Haq,7.0,0,52,2,7.42,22,4,3,3,0,Afghanistan,22nd_match
Mujeeb Ur Rahman,8.0,0,55,0,6.87,20,5,2,0,0,Afghanistan,22nd_match
Mohammad Nabi,10.0,0,31,1,3.1,37,2,0,0,0,Afghanistan,22nd_match
Azmatullah Omarzai,5.0,0,50,1,10.0,9,4,2,3,0,Afghanistan,22nd_match
Rashid Khan,10.0,0,41,0,4.1,30,1,1,0,0,Afghanistan,22nd_match
Noor Ahmad,10.0,0,49,3,4.9,27,1,1,4,1,Afghanistan,22nd_match
Shaheen Shah Afridi,10.0,0,58,1,5.8,27,5,0,2,0,Pakistan,22nd_match
Hasan Ali,10.0,1,44,1,4.4,42,4,2,1,0,Pakistan,22nd_match
Haris Rauf,8.0,1,53,0,6.62,19,6,0,3,0,Pakistan,22nd_match
Usama Mir,8.0,0,55,0,6.87,19,6,0,2,1,Pakistan,22nd_match
Shadab Khan,8.0,0,49,0,6.12,22,6,0,0,0,Pakistan,22nd_match
Iftikhar Ahmed,5.0,0,27,0,5.4,15,1,1,0,0,Pakistan,22nd_match
