bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Mitchell Starc,10.0,1,34,3,3.4,46,3,1,4,0,Australia,2nd_semi_final
Josh Hazlewood,8.0,3,12,2,1.5,39,1,0,0,0,Australia,2nd_semi_final
Pat Cummins,9.4,0,51,3,5.27,32,5,1,2,0,Australia,2nd_semi_final
Adam Zampa,7.0,0,55,0,7.85,21,1,6,0,0,Australia,2nd_semi_final
Glenn Maxwell,10.0,0,35,0,3.5,35,3,0,0,0,Australia,2nd_semi_final
Travis Head,5.0,0,21,2,4.2,19,3,0,1,0,Australia,2nd_semi_final
Marco Jansen,4.2,0,35,0,8.07,18,6,1,4,0,South Africa,2nd_semi_final
Kagiso Rabada,6.0,0,41,1,6.83,24,2,4,1,1,South Africa,2nd_semi_final
Aiden Markram,8.0,1,23,1,2.87,34,1,1,1,0,South Africa,2nd_semi_final
Gerald Coetzee,9.0,0,47,2,5.22,35,8,0,1,1,South Africa,2nd_semi_final
Tabraiz Shamsi,10.0,0,42,2,4.2,36,3,0,5,0,South Africa,2nd_semi_final
Keshav Maharaj,10.0,0,24,1,2.4,39,1,0,0,0,South Africa,2nd_semi_final
