bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Dilshan Madushanka,10.0,0,80,5,8.0,25,8,2,6,0,Sri Lanka,33rd_match
Dushmantha Chameera,10.0,2,71,1,7.1,28,8,2,0,0,Sri Lanka,33rd_match
Kasun Rajitha,9.0,0,65,0,7.22,25,7,2,1,0,Sri Lanka,33rd_match
Angelo Mathews,3.0,0,11,0,3.66,10,1,0,0,0,Sri Lanka,33rd_match
Maheesh Theekshana,10.0,0,67,0,6.7,18,5,1,1,0,Sri Lanka,33rd_match
Dushan Hemantha,8.0,0,52,0,6.5,17,2,2,0,1,Sri Lanka,33rd_match
Jasprit Bumrah,5.0,1,8,1,1.6,26,0,0,3,0,India,33rd_match
Mohammed Siraj,7.0,2,16,3,2.28,35,2,0,1,0,India,33rd_match
Mohammed Shami,5.0,1,18,5,3.6,22,3,0,0,0,India,33rd_match
Kuldeep Yadav,2.0,0,3,0,1.5,9,0,0,0,0,India,33rd_match
Ravindra Jadeja,0.4,0,4,1,6.0,3,1,0,0,0,India,33rd_match
