bowler,overs,maidens,runs,wickets,economy,zeros,fours,sixes,wides,noballs,country,match_name
Mitchell Starc,10.0,0,55,3,5.5,30,4,1,3,0,Australia,final
Josh Hazlewood,10.0,0,60,2,6.0,22,4,1,1,0,Australia,final
Glenn Maxwell,6.0,0,35,1,5.83,19,4,1,0,0,Australia,final
Pat Cummins,10.0,0,34,2,3.4,30,0,0,2,0,Australia,final
Adam Zampa,10.0,0,44,1,4.4,22,1,0,1,0,Australia,final
Mitchell Marsh,2.0,0,5,0,2.5,7,0,0,0,0,Australia,final
Travis Head,2.0,0,4,0,2.0,8,0,0,0,0,Australia,final
Jasprit Bumrah,9.0,2,43,2,4.77,37,8,0,0,0,India,final
Mohammed Shami,7.0,1,47,1,6.71,28,6,1,3,0,India,final
Ravindra Jadeja,10.0,0,43,0,4.3,29,1,1,1,0,India,final
Kuldeep Yadav,10.0,0,56,0,5.6,25,3,2,0,0,India,final
Mohammed Siraj,7.0,0,45,1,6.42,16,4,1,0,0,India,final
