wicket_number,fallen_score,fallen_over,batsmen,team,match_name,innings,scorecard_id
10,70,17.6,Sonam Yeshey,Bhutan,1st-Match,1st,1420801
5,190,40.3,Ella Hayward,Victoria Women,37th-match,1st,1391861
3,215,35.5,Heather Graham,Tasmania Women,37th-match,1st,1391861
10,454,129.3,Kumar Kartikeya,Madhya Pradesh,1st-Elite,1st,1383796
10,132,47.1,Akash Singh,Baroda,1st-Elite,1st,1383796
10,270,98.3,Atit Sheth,Madhya Pradesh,1st-Elite,2nd,1383796
10,297,90.5,Himanshu Sangwan,Railways,1st-Elite,1st,1383794
10,200,68.2,Mohit Redkar,Goa,1st-Elite,1st,1383794
10,208,63.3,Adarsh Singh,Railways,1st-Elite,2nd,1383794
10,242,65.2,Heramb Parab,Goa,1st-Elite,2nd,1383794
10,328,116.5,Yuvrajsinh Dodiya,Saurashtra,1st-Elite,1st,1383784
10,257,91.2,Arafat Khan,Rajasthan,1st-Elite,1st,1383784
6,208,62.2,Prerak Mankad,Saurashtra,1st-Elite,2nd,1383784
10,87,28.4,Kukna Ajay Singh,Rajasthan,1st-Elite,2nd,1383784
9,121,17.6,Adil Rashid,Sharjah Warriors,30th-Match,1st,1406918
4,115,12.2,Colin Munro,Desert Vipers,30th-Match,1st,1406918
6,308,49.6,Wanindu Hasaranga,Sri Lanka,2nd-ODI,1st,1416075
10,153,33.5,Gulbadin Naib,Afghanistan,2nd-ODI,1st,1416075
4,146,13.4,Marcus Stoinis,Australia,2nd-T20I,1st,1375851
9,189,17.5,Akeal Hosein,West Indies,2nd-T20I,1st,1375851
7,221,45.3,Charlie Anderson,Australia Under-19s,1st-Final,1st,1399764
10,174,43.5,Saumy Pandey,India Under-19s,1st-Final,1st,1399764
10,99,19.4,Haimwoti Roy,KM-XIW U19,4th-Match,1st,1420191
8,63,19.2,Salina Sen,Gandaki WU19,4th-Match,1st,1420191
4,116,19.6,Aeli Yadav,Bagmati WU19,3rd-Match,1st,1420190
7,107,19.4,Supriya Budhamagar,Lumbini WU19,3rd-Match,1st,1420190
5,97,15.2,Etienne Beukes,Cambodia,1st-Final,1st,1418197
5,146,16.6,Manan Ali,Saudi Arabia,1st-Final,1st,1418197
3,145,14.3,Wataru Miyauchi,Japan,3rd-play-off,1st,1418196
2,200,18.3,Aritra Dutta,Singapore,3rd-play-off,1st,1418196
1,176,14.5,Kary Chan,Hong Kong Women,16th-Match,1st,1419921
10,50,15.4,Hawwa Ifasha,Maldives Women,16th-Match,1st,1419921
9,105,17.4,Aisya Eleesa,Malaysia Women,15th-Match,1st,1419920
10,76,19.4,Angeline Mare,Qatar Women,15th-Match,1st,1419920
10,75,19.5,Yang Yu Xuan,China Women,14th-Match,1st,1419919
6,65,14.6,Kurumi Ota,Japan Women,14th-Match,1st,1419919
8,87,19.6,Sara Merican,Singapore Women,13th-Match,1st,1419918
5,86,13.4,Zin Kyaw,Myanmar Women,13th-Match,1st,1419918
4,64,19.4,Ngawang Choden,Bhutan Women,12th-Match,1st,1419917
2,18,3.5,Indu Barma,Nepal Women,12th-Match,1st,1419917
5,127,19.4,Mia Arda,Indonesia Women,11th-Match,1st,1419916
10,41,16.3,Pavithra Shetty,Bahrain Women,11th-Match,1st,1419916
1,90,13.5,Kavisha Egodage,United Arab Emirates Women,10th-Match,1st,1419915
10,28,12.6,Cynthia SALD Saldanha,Oman Women,10th-Match,1st,1419915
2,137,16.5,Thipatcha Putthawong,Thailand Women,9th-Match,1st,1419914
9,81,19.6,Mariamma Hyder,Kuwait Women,9th-Match,1st,1419914
1,2,,,Sui Northern,1st-Final,1st,1413193
1,18,,,WAPDA,1st-Final,1st,1413193
1,22,,,Sui Northern,1st-Final,2nd,1413193
1,0,,,WAPDA,1st-Final,2nd,1413193
10,144,46.3,G Lalbiakvela,Mizoram,2nd-final,1st,1383839
10,145,44.4,Jaskirat Singh Sachdeva,Meghalaya,2nd-final,1st,1383839
10,153,37.6,G Lalbiakvela,Mizoram,2nd-final,2nd,1383839
4,75,16.5,Swarajeet Das,Meghalaya,2nd-final,2nd,1383839
8,447,104.1,Pragnay Reddy,Hyderabad (India),1st-final,1st,1383838
10,206,60.1,Imliwati Lemtur,Nagaland,1st-final,1st,1383838
10,188,58.3,Karan Tewatiya,Hyderabad (India),1st-final,2nd,1383838
10,106,28.4,Umran Malik,Jammu & Kashmir,1st-Elite,1st,1383799
10,172,55.1,Mohit Mittan,Puducherry,1st-Elite,1st,1383799
10,152,67.5,Umar Nazir Mir,Jammu & Kashmir,1st-Elite,2nd,1383799
10,67,35.3,Damodaran Rohit,Puducherry,1st-Elite,2nd,1383799
10,67,34.2,Bishworjit Konthoujam,Manipur,1st-Elite,1st,1383787
10,333,106.1,Raj Bahadur,Services,1st-Elite,1st,1383787
10,70,40.3,Bishworjit Konthoujam,Manipur,1st-Elite,2nd,1383787
10,509,134.5,Anshul Kamboj,Haryana,1st-Elite,1st,1383785
10,119,39.3,Shahbaz Nadeem,Jharkhand,1st-Elite,1st,1383785
10,185,61.4,Saurabh Shekhar,Haryana,1st-Elite,2nd,1383785
10,316,93.6,Jabulisa Tshuma,Mid West Rhinos,18th-Match,1st,1402974
10,417,91.6,Jalat Khan,Southern Rocks,18th-Match,1st,1402974
10,239,67.5,Jabulisa Tshuma,Mid West Rhinos,18th-Match,2nd,1402974
4,130,28.1,Johnathan Campbell,Southern Rocks,18th-Match,2nd,1402974
10,394,97.4,Luke Jongwe,Matabeleland Tuskers,17th-Match,1st,1402973
10,272,76.3,Tendai Chatara,Mountaineers,17th-Match,1st,1402973
8,304,90.2,Mamoon Ur Riaz,Matabeleland Tuskers,17th-Match,2nd,1402973
10,175,47.6,Salman Mirza,Mountaineers,17th-Match,2nd,1402973
5,267,84.4,Jonathan Vandiar,Northern Cape,16th-Match,1st,1394674
7,463,156.5,Jade de Klerk,Border,16th-Match,1st,1394674
10,273,94.6,Hermann Rolfes,Mpumalanga,18th-Match,1st,1394676
10,193,56.4,Tumelo Simelane,Easterns,18th-Match,1st,1394676
5,171,39.4,Benjamin van Niekerk,Mpumalanga,18th-Match,2nd,1394676
10,108,64.2,Divan Posthumus,Easterns,18th-Match,2nd,1394676
10,311,82.6,Chamindu Wijesinghe,Dambulla,8th-Match,1st,1417039
10,369,94.4,Wanuja Sahan,Kandy,8th-Match,1st,1417039
10,388,102.3,Mohamed Shiraz,Dambulla,8th-Match,2nd,1417039
9,207,71.6,Ashian Daniel,Kandy,8th-Match,2nd,1417039
9,254,85.2,Milan Rathnayake,Galle,7th-Match,1st,1417038
10,185,76.4,Shashika Dulshan,Jaffna,7th-Match,1st,1417038
4,361,83.1,Sangeeth Cooray,Galle,7th-Match,2nd,1417038
10,206,64.6,Saminda Fernando,Jaffna,7th-Match,2nd,1417038
3,106,10.5,Tom Abell,Sunrisers Eastern Cape,1st-Final,1st,1392685
10,115,16.6,Reece Topley,Durban's Super Giants,1st-Final,1st,1392685
9,144,19.4,Scott Kuggeleijn,Dubai Capitals,29th-Match,1st,1406917
8,125,19.3,Dwayne Bravo,MI Emirates,29th-Match,1st,1406917
3,124,15.1,Chris Lynn,Gulf Giants,28th-Match,1st,1406916
9,162,19.5,Sunil Narine,Abu Dhabi Knight Riders,28th-Match,1st,1406916
4,158,16.6,Mahmudullah,Fortune Barishal,28th-Match,1st,1412301
10,149,19.4,Shoriful Islam,Durdanto Dhaka,28th-Match,1st,1412301
3,122,12.3,Reeza Hendricks,Rangpur Riders,27th-Match,1st,1412300
6,145,19.1,Shohidul Islam,Chattogram Challengers,27th-Match,1st,1412300
3,59,10.3,Seemana KC,Gandaki WU19,2nd-Match,1st,1420189
