over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
50,4.80,240,10,India,1st-Final,1384439
43,5.60,241,4,Australia,1st-Final,1384439
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
49.4,4.26,212,10,South Africa,2nd-Semi-Final,1384438
47.2,4.54,215,7,Australia,2nd-Semi-Final,1384438
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
50,7.94,397,4,India,1st-Semi-Final,1384437
48.5,6.69,327,10,New Zealand,1st-Semi-Final,1384437
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
50,8.20,410,4,India,45th-Match,1384436
47.5,5.22,250,10,Netherlands,45th-Match,1384436
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
50,6.74,337,9,England,44th-Match,1384435
43.3,5.60,244,10,Pakistan,44th-Match,1384435
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
50,6.12,306,8,Bangladesh,43rd-Match,1384434
44.4,6.87,307,2,Australia,43rd-Match,1384434
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
50,4.88,244,10,Afghanistan,42nd-Match,1384433
47.3,5.20,247,5,South Africa,42nd-Match,1384433
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
46.4,3.66,171,10,Sri Lanka,41st-Match,1384432
23.2,7.37,172,5,New Zealand,41st-Match,1384432
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
50,6.78,339,9,England,40th-Match,1384431
37.2,4.79,179,10,Netherlands,40th-Match,1384431
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
50,5.82,291,5,Afghanistan,39th-Match,1384430
46.5,6.25,293,7,Australia,39th-Match,1384430
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
49.3,Mins,279,10,Sri Lanka,38th-Match,1384429
41.1,Mins,282,7,Bangladesh,38th-Match,1384429
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
50,6.52,326,5,India,37th-Match,1384428
27.1,3.05,83,10,South Africa,37th-Match,1384428
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
49.3,5.77,286,10,Australia,36th-Match,1384427
48.1,5.25,253,10,England,36th-Match,1384427
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
50,8.02,401,6,New Zealand,35th-Match,1384426
25.3,7.84,200,1,Pakistan,35th-Match,1384426
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
46.3,3.84,179,10,Netherlands,34th-Match,1384425
31.3,5.74,181,3,Afghanistan,34th-Match,1384425
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
50,7.14,357,8,India,33rd-Match,1384424
19.4,2.79,55,10,Sri Lanka,33rd-Match,1384424
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
50,7.14,357,4,South Africa,32nd-Match,1384423
35.3,4.70,167,10,New Zealand,32nd-Match,1384423
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
45.1,4.51,204,10,Bangladesh,31st-Match,1384422
32.3,6.30,205,3,Pakistan,31st-Match,1384422
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
49.3,4.86,241,10,Sri Lanka,30th-Match,1384421
45.2,5.33,242,3,Afghanistan,30th-Match,1384421
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
50,4.58,229,9,India,29th-Match,1384420
34.5,3.70,129,10,England,29th-Match,1384420
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
50,4.58,229,10,Netherlands,28th-Match,1384419
42.2,3.35,142,10,Bangladesh,28th-Match,1384419
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
49.2,7.86,388,10,Australia,27th-Match,1384418
50,7.66,383,9,New Zealand,27th-Match,1384418
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
46.4,5.78,270,10,Pakistan,26th-Match,1384417
47.2,5.72,271,9,South Africa,26th-Match,1384417
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
33.2,4.68,156,10,England,25th-Match,1384416
25.4,6.23,160,2,Sri Lanka,25th-Match,1384416
over_played,run_rate,total_score,wickets_fallen,country,match_name,scorecard_id
50,7.98,399,8,Australia,24th-Match,1384415
21,4.28,90,10,Netherlands,24th-Match,1384415
