over_played,run_rate,total_score,wickets_fallen,team,match_name,innings,scorecard_id
18.0,3.88,70,10,Bhutan,1st-Match,1st,1420801
6.5,10.53,72,0,Thailand,1st-Match,1st,1420801
50.0,5.1,255,5,Victoria Women,37th-match,1st,1391861
43.4,5.93,259,3,Tasmania Women,37th-match,1st,1391861
129.3,3.5,454,10,Madhya Pradesh,1st-Elite,1st,1383796
47.1,2.79,132,10,Baroda,1st-Elite,1st,1383796
98.3,2.74,270,10,Madhya Pradesh,1st-Elite,2nd,1383796
90.5,3.26,297,10,Railways,1st-Elite,1st,1383794
68.2,2.92,200,10,Goa,1st-Elite,1st,1383794
63.3,3.27,208,10,Railways,1st-Elite,2nd,1383794
65.2,3.7,242,10,Goa,1st-Elite,2nd,1383794
116.5,2.8,328,10,Saurashtra,1st-Elite,1st,1383784
91.2,2.81,257,10,Rajasthan,1st-Elite,1st,1383784
64.0,3.65,234,6,Saurashtra,1st-Elite,2nd,1383784
28.4,3.03,87,10,Rajasthan,1st-Elite,2nd,1383784
18.0,6.72,121,9,Sharjah Warriors,30th-Match,1st,1406918
12.5,9.58,123,4,Desert Vipers,30th-Match,1st,1406918
50.0,6.16,308,6,Sri Lanka,2nd-ODI,1st,1416075
33.5,4.52,153,10,Afghanistan,2nd-ODI,1st,1416075
20.0,12.05,241,4,Australia,2nd-T20I,1st,1375851
20.0,10.35,207,9,West Indies,2nd-T20I,1st,1375851
50.0,5.06,253,7,Australia Under-19s,1st-Final,1st,1399764
43.5,3.96,174,10,India Under-19s,1st-Final,1st,1399764
19.4,5.03,99,10,KM-XIW U19,4th-Match,1st,1420191
20.0,3.25,65,8,Gandaki WU19,4th-Match,1st,1420191
20.0,5.8,116,4,Bagmati WU19,3rd-Match,1st,1420190
20.0,5.4,108,7,Lumbini WU19,3rd-Match,1st,1420190
20.0,7.35,147,5,Cambodia,1st-Final,1st,1418197
17.3,8.62,151,5,Saudi Arabia,1st-Final,1st,1418197
20.0,10.75,215,3,Japan,3rd-play-off,1st,1418196
19.2,11.17,216,2,Singapore,3rd-play-off,1st,1418196
20.0,11.1,222,1,Hong Kong Women,16th-Match,1st,1419921
15.4,3.19,50,10,Maldives Women,16th-Match,1st,1419921
20.0,5.75,115,9,Malaysia Women,15th-Match,1st,1419920
19.4,3.86,76,10,Qatar Women,15th-Match,1st,1419920
19.5,3.78,75,10,China Women,14th-Match,1st,1419919
18.3,4.1,76,6,Japan Women,14th-Match,1st,1419919
20.0,4.35,87,8,Singapore Women,13th-Match,1st,1419918
14.3,6.06,88,5,Myanmar Women,13th-Match,1st,1419918
20.0,3.25,65,4,Bhutan Women,12th-Match,1st,1419917
11.5,5.57,66,2,Nepal Women,12th-Match,1st,1419917
20.0,6.45,129,5,Indonesia Women,11th-Match,1st,1419916
16.3,2.48,41,10,Bahrain Women,11th-Match,1st,1419916
20.0,8.8,176,1,United Arab Emirates Women,10th-Match,1st,1419915
13.0,2.15,28,10,Oman Women,10th-Match,1st,1419915
20.0,8.85,177,2,Thailand Women,9th-Match,1st,1419914
20.0,4.05,81,9,Kuwait Women,9th-Match,1st,1419914
80.0,5.98,479,7,Sui Northern,1st-Final,1st,1413193
34.4,4.03,140,10,WAPDA,1st-Final,1st,1413193
